instance_id,orig_status,api_status,match,job_id,report_path
astropy__astropy-12907,resolved,resolved,True,job_1754924259941,nejumi-replay-csv.api_1754924261.json
astropy__astropy-13033,unresolved,unresolved,True,job_1754924361147,nejumi-replay-csv.api_1754924362.json
astropy__astropy-14182,unresolved,unresolved,True,job_1754924473980,nejumi-replay-csv.api_1754924475.json
astropy__astropy-7336,resolved,resolved,True,job_1754924582554,nejumi-replay-csv.api_1754924584.json
astropy__astropy-7671,error,error,True,job_1754924626712,nejumi-replay-csv.api_1754924628.json
django__django-10880,resolved,resolved,True,job_1754924653075,nejumi-replay-csv.api_1754924654.json
django__django-10973,unresolved,unresolved,True,job_1754924697701,nejumi-replay-csv.api_1754924699.json
django__django-10999,unresolved,unresolved,True,job_1754924744182,nejumi-replay-csv.api_1754924745.json
django__django-11066,resolved,resolved,True,job_1754924781868,nejumi-replay-csv.api_1754924783.json
django__django-11099,resolved,resolved,True,job_1754924820293,nejumi-replay-csv.api_1754924821.json
